,Date,Score,Review
10,9 marca 2026,1,"I am extremely disappointed with Samsung and the poor quality and customer support I have experienced and I would like samsung to take this as  a very strong and warning message Just after purchasing my Samsung Flip 6 before 1 year 3 to 4 months, a green line suddenly appeared on the screen without any damage or reason. This is a phone that cost me ₹1.15 lakh. which I purchased trusting the brand and expecting premium quality. Its my hard earned money and its affecting my mental peace so very badly.I have contacted the Samsung helpline and service center in porur multiple times then a customer Service Manager named Saranya was assigned to my case, but every single time the call was reassigned to someone else and no concrete solution was provided. They even asked me tk submit the phone for inspection which i did. After weeks of follow-ups, I am still left without a proper response.Yes, I had once changed the display and I got it repaired through Onsitego - they did change companies display on my phone ( i shared concerned bills related to when the phone was bought along with the insurance papers) . After that, the phone was working perfectly fine for several months  - which is almost 8 months. Then suddenly, one day, this green line appeared out of nowhere.What is even more shocking is that on the very same day, my husband’s Samsung S22 also developed a pink line on the screen. How can two premium Samsung devices develop screen line issues at the same time?Now the service center is simply saying ""the phone is out of warranty""and refusing to provide any proper resolution. I am expected to pay again for a problem that clearly seems like a manufacturing or quality issue.I want to ask Samsung: When a customer spends ₹1.15 lakh on a premium phone. is this the quality we should expect?Why is the warranty only 1 year, the same as phones costing ₹20,000?Does this mean Samsung itself does not trust the durability of its own premium products?I will not pay another rupee for a problem that is clearly not caused by me. This reflects poor quality control and unacceptable customer service for such expensive devices.I bought Samsung believing it was a reliable and premium brand, but this experience has been nothing short of frustrating and disappointing.Samsung needs to take responsibility and provide a proper resolution immediately.I dont want your free service but what is hard earned i definitely will not compromise until and unless I get a free replacement on my phone display. I will also take this to social media and I know how many people will report on the same very issue !!!!! I expect a smooth response from any personal to get this sorted at the earliest. #SayNoToSamsung #worstproduct"
11,9 marca 2026,1,"I have very poor Samsung ovens, both of which have failed after only a year. My oven has now been taken away, and no provision has been made to enable me to use.  I truly regret ever getting this kitchen equipment"
12,9 marca 2026,1,"Il fut une période ou j'achetai beaucoup samsung. Malheureusement, l'entreprise fait de l'obsolescence programmee sur la plupart de leurs matériels, quelque soit le domaine. J'ai un graveur dvd en etat neuf, se-208, a une epoque ou effectivement on ne s'en sers plus trop, mais ce n'est pas une excuse pour abandonner ce genre de produit sous windows 11. meme la reference n'est plus reconnue et de nombreux utilisateurs ont le meme probleme. Samsung fiable ? terminé, nous sommes passé a une nouvelle époque."
13,9 marca 2026,1,"Ik zou vandaag een nieuwe tv krijgen en heb daarbij een installatieservice van 100€ bijgekocht voor het ophangen van de Samsung tv aan de muur. Daarbij een bezorg- en installatietijdslot gekocht van 9€, gezien je vrij moet nemen van werk en het boren in beton simpelweg niet mag na 20:00 in een flatgebouw.Vorige week via de Samsungwebsite gekocht:-tv-installatieservice-tijdsslot 13:00-18:00Alsook de de dag vrij genomen, wat indirect natuurlijk ook geld kost.Vanmorgen rond 07:00 krijg ik doodleuk een mailtje van Samsung: helaas, we hebben vertraging, je product kan vandaag niet bezorgd worden. Geen indicatie voor een nieuwe afspraak te maken, niks.Meteen de “klantenservice"" gebeld. En had ik maar eerst hier op Trustpilot gekeken.. De telefoonlijn is totaal niet verstaanbaar, alsof er iemand in een tunnel zit. Net zoals de klantenservicemedewerker die mompelt en continue als een robot standaard zinnen lijkt op te lezen in vrijwel onverstaanbaar Nederlands. Ook als ik ja/nee vragen stel.Conclusie van de “klantenservice”:1. Je krijgt niet je geld terug van het gekochte tijdsslot van 13:00-18:002. Je kan niet zelf een nieuwe leveringsdag kiezen of een nieuw tijdsslot.3. Samsung compenseert niks.Ik geef 4 keer aan dat ik niet de hele week vrij kan nemen voor de installatie van een tv, waar ik dus een gekocht tijdslot voor had. Bovendien ligt de fout bij Samsung (de verkoper) en wil ik als koper een oplossing: een nieuwe dag inplannen.Robotstem klantenservice: “Samsung is niet verantwoordelijk en heeft geen invloed op de levering”.Dat is interessant, je bent verkoper, Samsung, met een webshop inclusief de opties tot kopen van een dienst (installatie in de muur) en met extra kosten voor een bezorgblok. Dan ben je als verkopende partij (wet verkoop op afstand/online) gewoon bij wet verantwoordlijk voor geleverde producten en diensten. Ook als je die uitbesteed, in dit geval: Dyna Logic. Als ik dit aangeef is deze informatie te ingewikkeld voor de klantenservicemedewerker: ze vervalt vervolgens weer in haar 3 zinnetjes die ze van een a4 lijkt op te (moeten?) lezen: samsung is niet verantwoordelijk voor.. etc. etc.Wat is dit voor waanzin.Overigens, staat er toch echt letterlijk op de site die je track & trace bijhoudt van de samenwerking Samsung/Dynalogic (samsung. dynalogic. eu/track/order) dat je je geld wel degelijk terug hoort te krijgen van het gekochte tijdsslot wanneer Samsung OF Dyna Logic in fout is:Krijg ik mijn geld terug van het tijdsvenster als de levering/afhaling niet gelukt is?Ja, als de levering of afhaling niet gelukt is door een fout van onze kant, dan krijgt u uiteraard het geld van het tijdsvenster terug. We zorgen ervoor dat u niet betaalt voor een service die we niet naar behoren hebben geleverd. In sommige gevallen krijgt u dit automatisch teruggestort en anders kunt u dit aanvragen via de track en trace pagina: Login (myold.dynahealth.eu). De link werkt verrassend genoeg niet en je bent dus weer aangewezen op de robotmensen van de klantenservice en de 3 zinnetjes aan “antwoorden”. Geen mogelijkheid tot schriftelijke in gebreke stelling per mail of post. Geen mogelijkheid om deze order te annuleren. Ook opvallend: in de orderbevestiging niet de verplichte optie benoemd van je herroepingsrecht als klant. Ook geen bijlage met het standaard modelformulier voor herroeping.Dit is echt volledig tegen de wetgeving in, Nederlands en Europees."
14,9 marca 2026,1,"Slechtste service ooit, per telefoon dit nummer dat ze aangeven is niet meer in gebruik. Het nieuwe nummer is ook niet in gebruik schandalig. vlug iPad in de vuilbak gooien en een appel kopen met een service, de beste ooit."
15,9 marca 2026,5,
16,17 grudnia 2025,1,"Galaxy SMeu Samsung S21 FE comprado a exatamente 1 ano e 11 meses apresentou o seguinte problema, ontem apareceu uma tela branca na tela, sem que tenha dado nenhum motivo para o fato. Não caiu, não tem sinal de mal uso, tudo perfeito. Pesquisando na rede, percebi varias reclamações sobre o tema, muitos relatos no site de reclamações do ""reclameaqui"", relatos na própria comunidade da Samsung, no consumidor.gov.br . Enfim, um problema crônico da Samsung, o que caracteriza o problema crônico com vício oculto. Não é possível que um aparelho que custou R$2.800,00 apresente um defeito de tela com apenas 2 anos de uso. Onde  está qualidade do material entregue por vocês? Aparelho estava perfeito e do nada apareceu essa listra na tela.Aguardo uma solução amigável de vocês o mais breve possível,  não é aceitável que m produto caro como este, apresente defeito de tela, sem que tenha dado causa, em tão pouco tempo. para mim fica claro que trata-se de Vício oculto na fabricação que em um curto período de tempo aparece.para solucioná-lo a responsabilidade não pode recair sobre o consumidor, usuário do produto, mas sim de vocês que colocaram o produto no mercado para venda."
17,8 marca 2026,1,"Dopo appena un mese dall’acquisto di una lavatrice Samsung , durante un normale lavaggio mi sono accorta che stava perdendo acqua. Aprendo lo sportello ho scoperto con sorpresa che un pezzo della guarnizione era completamente arrotolato su se stesso, causando la perdita.Ho contattato il numero verde per segnalare il problema, ma mi è stato comunicato che la riparazione sarebbe stata a mio carico. Una risposta che trovo francamente difficile da accettare, considerando che si tratta di un elettrodomestico praticamente nuovo.Ho scelto questo prodotto fidandomi del marchio Samsung, dopo aver confrontato diversi modelli e marche, convinta di acquistare un prodotto affidabile e supportato da un servizio clienti adeguato. Purtroppo l’esperienza si è rivelata molto diversa dalle aspettative.Trovo davvero deludente che, di fronte a un problema così precoce, non venga offerta alcuna forma di tutela o attenzione al cliente. Da un marchio di questo livello mi sarei aspettata un approccio decisamente più serio e orientato alla soddisfazione del consumatore.In sintesi, oltre al problema tecnico, resta una forte delusione per la gestione dell’assistenza. Un’esperienza che, purtroppo, mi fa mettere seriamente in discussione la scelta fatta."
18,8 marca 2026,1,I'd give it a zero. I have a Samsung TV that I hung in my basement about 6 years ago this TV is rarely used probably doesn't have 100 hrs on it. All the sudden the remote doesn't program the TV this crappy ass ass TV doesn't have a single button on it to turn it on sickening joke this is total Samsung scam. So I call we can't program the remote can't get the TV to turn on she says because it's 6 years old I'll have to pay out of pocket. I own a Samsung flip phone I will never buy another Samsung product again they do not stand behind their products whether warranty or not this TV has been sitting here not being used and didn't last over 100 hours of use what a joke. On top of that Samsung's menu and all of that is a joke too they do not leave it simple The remote has too many buttons on it. I'll stick with my simple Roku. 
19,8 marca 2026,1,"Absolutely the worst brand of washers and dryers in the United States! Hey, President Trump, get these mediocre products out of the country!!!! Had these 3k combined washers and dryer for 3 years and have had nothing but problems with the washer since about 1.5 years after purchasing. Horrible customer service. They act as if you're doing them a favor! DO NOT BUY! BUY AN LG! They last and excellent customer service! This goes for all household goods. Samsung is too invested in the S line of their phones and should do us all a favor and take their crappy products off the consumer market. Oh,and customer service has hung up on me multiple times! Way to go!🤣"
20,8 marca 2026,2,"Veel revieuws heel herkenbaar.Ik zag een Samsung televisie die ze aanbieden voor 399 euro, er staat dan op voorraad,maar als je de website gaat bezoeken blijkt  dat het artikel niet voorradig is."
21,7 marca 2026,1,"Nei nostri uffici ho istallato un impianto Samsung da oltre 28mila euro.Mai entrato in funzione, e dopo oltre 3 mesi non è stato ancora risolto il guasto.Assistenza clienti inesistente Assistenza tecnica inesistente Non monterò mai più Samsung"
22,7 marca 2026,1,"My wife and I have been huge supporters of Samsung over the years.  We have spent over $50,000 worth of products and talked highly about the company.  Today, Samsung has failed me and I will no longer support them.  I purchased an oven 4 months ago for my 75 year old mother and it stopped working.  I did purchase it from Best buy with a 2 year warranty but I was instructed to call Samsung since it’s under manufacturers warranty.  The representative listened to my concerned but then said, “You need to call an electrician and provide us with a work order.”  I explained that we should not have to spend extra money but she kept insisting to call an electrician. We are done with Samsung."
23,6 marca 2026,1,if they do not like what you post the will remove it i can see why people leave Samsung i will try not to buy anything again i can see why people leave and they are mouths behind on there patches
24,6 marca 2026,1,"Samsung hat seine neuen Modelle auf dem Markt. Prima und die Freude war groß und die Enttäuschung noch größer. Das Samsung Galaxy S26 Ultra ist ein Handy, was bereits schon nach wenigen Minuten wieder eingepackt wurde und der Retourenschein wurde angefordert. Seit Jahren stelle ich fest, dann man immer weniger Leistung bekommt und statt dessen aber immer mehr Kosten zahlen soll. So auch bei den neuen Modellen. Im Test selbst nur das Ultra. Hier fiel sofort auf, dass sich nichts - bis gar nichts geändert hat. Dem Verbraucher interessieren sichtbare und spürbare Veränderungen. Nicht welcher Prozessor wo drin läuft. Schon allein beim Speicherupgrade fängt der Ärger an. Vorher gab es statt 256 GB nun 512 GB und bei 512 GB dann 1000 GB. Nun gibt es nur noch statt 256 GB die 512 GB Ausführung. Wo ist von 512 GB auf 1000 GB ? Das war es dann. Beworben wird das Privat Display. Es wäre auch eine tolle Idee. Nur leider sieht die Realität anders aus. Nachdem man diese Einstellung erst einmal gefunden hat, wird man mäßig belohnt. Schaltet man um auf private Display, wird der Hintergrund im Handy ungewollt geändert. Dürfte nicht jedem User gefallen. Dann also doch lieber eine entsprechende Folie. Auffällig wurden dann die Ladezyklen. Von 2000 wie beim Vorgänger, gibt es nur noch 1200. Darüber redet aber keiner ! Warum wohl nicht ?! Wofür zahlt man aber deutlich mehr, wenn noch weniger drin ist ? Upgrade Arbeitsspeicher ? Fehlanzeige ! Upgrade Akku ? Fehlanzeige  ! Upgrade Kamera ? Fehlanzeige  ! Upgrade Aussehen ? Fehlanzeige  ! Werbung wird von Samsung betrieben und nichts wird geboten. Statt dessen bekommt man ein Private Display mit einer Werbung, die genau so viel Wert ist wie die 200 MP Kamera damals, wo man angeblich unten auf dem Boden mit Zoom sehen konnte, was oben am Himmel fliegt. Alles nur Blödsinn und Täuschung. Sichtbare und spürbare Veränderungen sind bei dem S26 Ultra nicht zu erwarten. Der WOW EFFEKCT blieb zum zweiten Male aus. Erst das S25 Ultra und nun das S26 Ultra. Auffällig auch die hoch brisante Umschreibung vieler User auf Youtube und dem Unboxing. Glauben sollte man hier mit Vorsicht genießen, denn es wird sichtbar sehr viel verschönt und Tatsachen fallen AUSVERSEHEN unter dem Tisch. Kurzum : Schönes Gerät, aber dem Kaufpreis nicht gerecht. Für 1000 GB interner Speicher sollte maximal 999.- Euro ausreichend sein. Alle anderen Preise sind vollkommen unrealistisch für DAS, was man tatsächlich hier bekommt. "
25,7 marca 2026,1,"Purchased a small Samsung chromebook in August 25.After using it for several months, it appeared quite a flimsy item and when opening it found it wouldn't always turn on. Returned via Argos in Feb, 26 and still waiting for a repair?"
26,7 marca 2026,1,"Tragisk kundeservice. Personen som svarer på WhatsApp er arrogant og ironisk. Chatten på nettsiden har ingen agenter å snakke med, selv om det står at de skal være tilgjengelige på dette tidspunktet. Chatboten gjentar de samme spørsmålene igjen og igjen, og det finnes ingen e-postadresse man kan sende spørsmål til. Er det virkelig mulig?"
27,7 marca 2026,1,"Mehr als nur enttäuscht. Genau wenige Monate nach Ablauf der Garantie ist dann gestern meine Samsung Waschmaschine kaputt gegangen. (Scheinbar etwas an der Steuerplatine ) beim Telefonat mit dem Kundenservice wird mir eine Telefonnummer eines Techniners einer Firma mitgeteilt welche es garnicht mehr gibt. Dann wurde mir geraten abzuwägen statt die Kosten für Techniker und Ersatzteile zu zahlen nicht lieber direkt ein neues Gerät zu kaufen (WTF) und mir wurde dann angeboten einen Gutschein für den Kauf eines neuen Geräts auszustellen . Meine Waschmaschine ist keine 2 einhalb Jahre alt , schon defekt und mir wird geraten eine neue zu kaufen??? Ernsthaft ?? Und das von einem gross Konzern wie Samsung find ich mehr als Unterste Schublade. Musste mir dann letztendlich gestern bei einer anderen Marke eine neue Maschine kaufen und werde Samsung in Zukunft meiden. Liebe Grüße "
28,7 marca 2026,1,"Very bad service and brand waste brand This is by far the worst service experience I have ever had. My washing machine was picked up on February 21, and since then there has been zero responsibility or proper communication from the service team.It has been weeks, and no one responds to emails or provides any clear update about the repair status. Every single day I have to follow up myself just to get basic information, which is extremely frustrating and unprofessional.A service center should not treat customers like this. Once they pick up the product, they seem to completely ignore the customer. This kind of service shows no respect for customers’ time or concerns.I strongly do not recommend this service center to anyone. If you value your time and peace of mind, stay away. Extremely disappointing and unacceptable service.⭐ 1/5 – Pathetic service."
29,5 marca 2026,1,"Do NOT purchase this refrigerator or any Samsung product from Samsung or any retailer.I purchased this refrigerator for my elderly parents to replace their 30+ year old refrigerator. HUGE MISTAKE!  I bought this unit from Lowe's on July 4th, 2025 and it was delivered and professionally installed on July 12th. One December 29th the ice maker stopped working. My dad, who worked in refrigeration his entire career, called the Warranty Department to issue the complaint. On the phone my 76-year old father was asked to unplug the refrigerator for 5-minutes and to find and push the reset buttons. That did not fix the issue. My father was then instructed to cut the circuit breaker at the panel. That did not fix the problem either. Please explain to me the difference between unplugging a refrigerator and cutting the circuit breaker.Lowe's / Samsung Service Department sent a Sears Repairman. The serviceman told my dad ""Oh. These units are so new that Samsung has not taught us how to fix them yet""! Between my father and the serviceman they located a pinhole leak in the refrigerant line. A part was ordered and shipped to my fathers house. Three days later the repairman showed up unannounced and told my dad that he would not be installing the new part but another service person would show up and do the work. The second workman never showed up and there was no additional communication with my dad.UNACCEPTABLE!Between me and my father we have sent dozens of emails to Samsung. We have spent countless hours on the phone trying to get through to someone who could help us.Samsung issued an e-coupon to order a new refrigerator. The e-coupon was invalid. We called again and spent countless hours on the phone being transferred to unhelpful departments. Weeks later we were issued another e-coupon...there are no refrigerators in Douglas County, NV to be delivered to my parent house. Apparently there are no Samsung refrigerators available in the entire state of Nevada!!3-months later we received an email saying a refund is being issued. The refund cannot be activated using their system.Their 30+ year old refrigerator is now in their garage and works just fine.DO NOT PURCHASE Samsung products! You will never get them serviced properly and you will never get a refund!"
30,6 marca 2026,1,"In Czechia, pre-order for s26 ultra. Site stills says it should be at their official store today (day of release). After 6, yes 6, calls they finally answered and told me that it will come on Tuesday (4 days from now) which is just awesome because I'm travelling in 2 days and I was not expecting this. Even better they told me that I should call their official store when I receive the notification to pick it up to tell them to hold it for me. Otherwise they will sent it back. So, essentially I would just give samsung 40k CZK to hold it for 3 weeks...I still hope I'll get my phone but this is just extremely bad from the customer service view.Site still says that it should arrive today even now..."
31,6 marca 2026,1,"SAMSUNG MISLEID KLANTEN!ZEER SLECHTE KLANTENSERVICE! KOOP NIKS BIJ SAMSUNG WEBSHOP!Ik heb een pre order geplaatst voor een Samsung Galaxy S26 Ultra, Online Exclusive, kleur: Pink Gold. Website Samsung levertijd aangegeven vanaf 6 maart. Orderbevestiging geeft aan:Bezorgdatum en tijdslotJe bezorging is gepland op 7 maart 2026 tussen 08:00-22:00 uur.Ik krijg vandaag een mail dat mijn bestelling is vertraagd en geen nieuwe leverdatum! Ik heb contact opgenomen met WhatsApp klantenservice Samsung. Klantenservice heeft aangegeven dat een exclusieve kleur een levertijd heeft van 4 tot 6 weken! Ik ben hiervan geschrokken en heb aangegeven dat dit niet wordt vermeld op Samsung website en webshop! Ik had niet gekozen voor deze kleur als ik deze extreem lange levertijd tot 6 weken had geweten! Klantenservice helpt niet en zegt niks te kunnen doen en dat ik maar moet wachten! Geen enkele excuses! Ook telefonisch niet geholpen door klantenservice Samsung en totaal genegeerd over mijn klacht over niet aangegeven levertijd! Ik ben heel brutaal en neerbuigend geholpen, schrikbarend extreem slechte service! Samsung misleid klanten met niet exacte leverdatum te vermelden en verwacht dat klanten meer dan een maand op hun nieuwe telefoon moeten wachten! Bestelling is al betaald en Samsung heeft mijn geld al, ik moet tot 6 weken wachten op mijn nieuwe toestel! Andere kleur kiezen is ook niet mogelijk volgens klantenservice, terwijl kleur nu wel op voorraad is op website! Geen enkele oplossing van klantenservice Samsung! Ik heb ontzettend veel spijt dat ik rechtstreeks bij Samsung heb gekocht! Dit is mijn eerste en laatste bestelling bij Samsung! Schande en extreem slechte klantenservice van een wereldwijde bekende miljarden bedrijf SAMSUNG! Ordernummer: NL260228-68304933"
32,6 marca 2026,1,"worst phone and worst laptop i have ever had were samsung, never again!"
33,26 lutego 2026,1,"Der Samsung Service ist ein absolutes Desaster !!! 2025 habe ich einen 160kg Kühl-Gefrier 4-Türer gekauft, vorher war per Email der Transport in den 1.Stock über eine breite Treppe mit 2 Ecken schriftlich ohne Aufpreis zugesagt worden. Um Es kurz zu machen, die Transportfirma Hermes weigerte sich zig Male, Samsung schrieb und telefonierte und macht leere Versprechungen und nach 6 Wochen ohne Kühlschrank, beauftragen ich selbst 4 Männer für 200Euro für den Transport. ÜBERRASCHUNG ES WAR SEHR WOHL MACHBAR ! Samsung war meine ""Zufriedenheit"" ja so ""wichtig"" das ich als ""Entschädigung"" einen 100 EuroGutschein erhielt, der sich NICHT für meinen gewünschten Artikel einlösen lässt, was mir anders am Telefon zugesichert wurde. Bis jetzt nicht, trotz Emails und unendlichen Telefonaten !!! An Ignoranz und Imkompetenz NICHT zu übertreffen !!! ES IST ERSCHÜTTERND WIE KUNDEN HIER BEHANDELT WERDEN ! Minus Sterne kann ich leider nicht vergeben. Samsung-Service SCHLECHTER GEHT NICHT !!!"
34,6 marca 2026,1,"Sehr schlechter Umgang an der Hotline alle sagen sie helfen dir aber keiner hilft dir wirklich, habe das neue S26 Ultra vorbestellt am 27.03.2026 und gleich eine halbe Stunde später wieder Storniert mit Bestätigung und alles drum herum das Geld war noch am selben Tag vom Konto eingezogen und jetzt seid einer Woche rufe ich jeden Tag an und bitte um Bearbeitung und Rückerstattung aber nichts passiert. Das so was von einem Welt Konzern kommt macht mich sprachlos kein Samsung mehr für mich."
35,6 marca 2026,1,"Votre service client est vraiment en-dessous de tout. J'ai rarement vu cela... Commande passée cette semaine pour livraison ce jour. Je m'arrange donc pour être à la maison aujourd'hui. Je reçois un message cette nuit pour me dire que la livraison est reportée à lundi. Mais lundi, je suis au bureau. Réponse de Samsung: tant pis, on ne sait rien faire pour vous 😂 Première et dernière fois que je passe commande chez vous ! "
36,5 marca 2026,1,"We purchase a 65 Inch Class OLED S90F, model #QN65S90FAFXZA back in December. As of today the TV has pretty much become a $2,500 paper weight. Last night, 3/4/26, the tv was fine. Has movie night with the family and we went to bed after. Today, 3/5/26, went to turn the tv on to watch another movie with my husband and there’s a big black spot in the top center of the tv. Got in touch with Samsung via text message. I sent pictures, video, and went through their visual support tool. When going through the motions there was no color within the black spot. Tech has been do a test through the tv and the black spot started looking like the back of a CD with the rainbow affect. So I relay that information, and simply got told yes I can see it. When he got done doing whatever it was he was doing tells me that that the display has been affected by an internal impact. I asked what that means. He told me that my tv got damaged by something internal and is considered physical damage even though nothing physically hit the tv and I now have to pay out of pocket to have it repaired. The tech also could not give me pricing for repair. "
37,27 października 2025,1,"Machine Samsung achetée neuve sur le site Samsung le 23 octobre 2025. Livrée le 27 octobre. Produits défectueux signalé dès le départ. La machine vient d’être récupérée le 25 février, soit 4 mois plus tard. Sans aucun dédommagement proposé, SAV non réactif qui copie colle toujours les mêmes réponses. Ok, j’ai pas eu de chance avec la machine à laver défectueuse mais laisser plus de 4 mois une cliente sans aucune solution est inacceptable. J’ai demandé la résolution de la vente et je dois attendre encore 2 mois le remboursement du produit. Soit 6 mois pour une machine à laver, 1/2 année écoulée.. du jamais vu honnêtement Méfiera vous du SAV Samsung Il ne faut pas avoir de problème. "
38,12 stycznia 2026,1,Pfft koop nooit direct via email Samsung site.Wasmachine besteld.1ste levering schade.... Dus geweigerd2 e levering kwamen ze met lege vrachtwagen.2 bestellingen  via klarna geannuleerdMaar nog 8x moeten bellen om in 4 stappen 2x een factuur te annuleren en 2x nog de installatie kosten te annulerenVerhaal is te lang om tijd aan te verkwistenMaar 8x bellen om ze bij elke stap aan het handje te moeten nemen voor niks.... Letterlijk want ze hebben niks geleverd én enkel tijd ontnomen.En zelfs geen nette email met aangeboden excuses voor het ongemak noch een nette compensatie. Naar de 100 euro inruil voor onze oude wasmachine konden we ook fluiten.Tis dat ik ook geen fan ben van Apple maar anders nooit meer SamsungEn dat voor een bedrijf dat in 2025230 miljard euro omzet had. Dat is 230.000 keer 1 miljoen!En het wacht muziekje van helpdesk is wanstaltig cheap midi crap slecht. 
39,5 marca 2026,1,"I am extremely disappointed with both the quality of the oven I purchased and the appalling level of customer service I received from Samsung.The oven developed a fault after only two months and is now unusable, leaving me without a working appliance. What makes the situation even worse is the way Samsung handled the issue. Despite the fact that I had a valid receipt, had registered the product, and provided the serial number, they still refused to accept my proof of purchase. They were fully aware of the purchase details through the product registration, yet they continued to dismiss the claim.Their warranty appears to be completely worthless. As things stand, I am left with a broken oven and absolutely no indication of when the required parts will be available or when the issue might be resolved.Throughout the process, the customer service attitude was shockingly dismissive. It very much felt like a “take it or leave it” approach, with little interest in actually helping or resolving the problem.Based on this experience, I would strongly advise anyone considering a Samsung appliance to think twice. The product quality has been poor and the customer support even worse. There are plenty of other brands out there—do yourself a favour and avoid Samsung if you expect reliable products and proper after-sales support."
40,5 marca 2026,1,"Achat d'une TV avec aspirateur offert , je n'ai jamais reçu l'aspirateur, c'est de l'arnaque TOTALE, passez votre chemin et évitez le samsung SHOP"
41,5 marca 2026,1,Catastrophique sav. Tv sous garantie ils refusent de venir constater le problème de plus   ils envoient un mail sur des choses non fondée. Je compte contacter un support juridique. 
